system,run_id,max_cpus,host_system,payload_size,iterations,workers,category,total_ops,throughput_ops_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,cpu_db_mean_perc,cpu_client_mean_perc,mem_db_mean_mib,mem_client_mean_mib,io_db_read_mib,io_db_write_mib,io_client_read_mib,io_client_write_mib,resource_samples
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,4,delete,4000000,37407.453,0.10619586,0.031848,0.08835,0.133608,0.0061459998,76.61969,0.0,101.72803278688524,0.0,738.8803278688524,0.0,0.0,0.0,6451.199999999997,61
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,4,insert,4000000,39538.758,0.09949249,0.028218,0.095409,0.169934,0.003353,76.19859,0.0,101.4703448275862,0.0,731.803448275862,0.0,0.0,0.0,6144.0,58
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,4,read,4000000,77987.85,0.050767917,0.006775,0.06293,0.115941,0.00090800005,87.52279,0.0,101.13612903225805,0.0,712.1387096774193,0.0,0.0,0.0,8089.600000000002,31
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,4,update,4000000,45256.6,0.08773915,0.024235,0.069983,0.105532,0.003282,82.89012,0.0,101.43735849056604,0.0,722.3490566037735,0.0,0.0,0.0,6553.5999999999985,53
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,8,delete,8000000,20859.984,0.3810972,0.071449,0.219583,0.381128,0.005308,91.2951,0.0,102.15351485148514,0.0,898.0965346534654,0.0,0.0,0.0,23347.199999999997,202
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,8,insert,8000000,25073.842,0.3162077,0.054337,0.27909,0.577947,0.0051680002,415.65378,0.0,100.35576470588235,0.0,887.0364705882354,0.0,0.0,0.0,18636.800000000003,170
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,8,read,8000000,41461.875,0.19194955,0.023397,0.149532,0.307795,0.0009780001,329.80508,0.0,100.94849056603773,0.0,845.8141509433963,0.0,0.0,0.0,13414.399999999994,106
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,1000000,8,update,8000000,24796.438,0.3201284,0.053988,0.182148,0.349559,0.00433,928.95483,0.0,100.09714285714286,0.0,866.8022857142856,0.0,0.0,0.0,20582.40000000001,175
berkeleydb,2026-07-11-11-32-40,2,ubuntu,medium,0,1,mix_10W_90R,10000,143469.69,0.006970114,0.0053080004,0.020114,0.024235701,0.0032830003,0.050845,0.0,143.87,0.0,785.7,0.0,0.0,10.239999999999782,0.0,2
berkeleydb,2026-07-11-11-32-40,2,ubuntu,medium,0,1,mix_50W_50R,20000,93969.41,0.010641762,0.01334,0.01781,0.02584339,0.0027939996,3.389448,0.0,143.87,0.0,785.7,0.0,0.0,10.239999999999782,0.0,2
